#(1)Object	(2)D(Mpc)	(3)SC	(4)LogLR	(5)αR	(6)Ref	(7)Log LX	(8)Ref	(9)LogM	(10)Method	(11)Ref
Ark 564	99.0	NS1	38.59	U	1	43.74	2	6.5	I[Oiii]	3
Cyg A	224	S2/L2	41.43	F	11	44.22	59	9.4	G	58
Fairall 9	199.8	S1	<37.68	U	4	44.14	5, 6	7.91	R	21
IC 1459	29.2	L2	39.71	F	4, 53	40.66a	9	9	S	10
IC 4296 (PKS 1333-33)	188	L1.9	39.68	S	11	41.20	12	9.1	Iσ	13
IC 4329A	65.5	S1	38.94	U	4	43.72	5	6.69	R	21
Mrk 3	52.0	S2	39.86	S	14, 51	42.7	14, 15	8.81	Iσ	16
Mrk 78	149	S2	39.86	S	14, 53	<44   	14	7.92	Iσ	16
Mrk 279	127	S1.5	38.78	S	4, 49	43.72	5	7.62	R	21
Mrk 335	107	NS1	38.27	F	4, 49	43.30	2, 17	6.79	R	21
Mrk 348	60.0	S2	39.70	F	14, 52	42.85	14	7.17	Iσ	16
Mrk 478	316	NS1	38.75	U	18	43.87	2	7.30	I[Oiii]	3
Mrk 507	216	NS1	38.78	U	1	42.97	2	7.10	I[Oiii]	3
Mrk 509	144	NS1	38.30c	S	19, 56	44.00	20	7.86	R	4
Mrk 573	69.2	S2	38.22	S	14, 49	<43.00	14	7.25	Iσ	16
Mrk 590	109	S1.2	38.70	S	4, 49	43.58	57	7.23	R	21
Mrk 766	51.7	NS1	38.32	S	1, 22	42.90	2, 6	6.64	I[Oiii]	3
Mrk 1066	48.4	S2	38.68	S	14, 53	<41.85	14	6.93	Iσ	16
NGC 221 (M 32)	0.810	–	<33.3 	U	67	35.97	67	6.40	S	68
NGC 315	66.2	L1.9	40.41	F	23	41.68	24	9.10	Iσ	16
NGC 1052	19.6	L1.9	39.86	S	25	41.57	24	8.29	Iσ	16
NGC 1068	14.4	S1.9	39.12	S	4, 27	41.00	15	7.20	M	4
NGC 1275	70.1	S2	41.74	F	14, 27	43.40	32, 34	8.64	Iσ	16
NGC 1365	21.8	S1.8	38.80	S	53	40.60	24	7.66	Iσ	26
NGC 1386	11.6	S2	36.70	U	53	40.64	24	7.20	Iσ	16
NGC 1667	61.2	S2	37.34	S	14, 27	40.05	15	7.93	Iσ	16
NGC 2110	31.2	S2	38.99	F	14, 53	42.60	14, 15	8.41	Iσ	16
NGC 2273	28.4	S2	37.83	S	27	41.40	15, 24	7.27	Iσ	16
NGC 2787	7.5	L1.9	37.22	F	4, 29	38.40	24, 28	7.59	G	10
NGC 2841	12.0	L2	36.00	F	29	38.26	28	8.42	Iσ	30
NGC 2992	30.8	S2	38.64	U	14	42.10	14, 15	7.75	Iσ	16
NGC 3031 (M81)	3.9	S1.5	36.82	F	4, 29	39.90	24, 28	7.79	S	4
NGC 3079	20.4	S2	38.39	F	27, 50	40.20	15	7.65	Iσ	26
NGC 3147	40.9	S2	38.01	F	27, 31	41.61	15, 31	8.79	Iσ	26
NGC 3169	16.5	L2	37.19	F	31, 54	41.35	31	7.91	Iσ	33
NGC 3226	15.4	L1.9	37.20	F	31, 54	40.74	31	8.23	Iσ	34
NGC 3227	20.6	S1.5	37.94	S	4, 27	41.99	5	7.59	R	21
NGC 3362	111	S2	38.47	S	14, 49	<43.6 	14	6.68	Iσ	16
NGC 3516	38.9	S1	37.98	S	4, 27	43.20	5, 6	7.36	R	4
NGC 3627	6.6	S2	35.45	F	29	<37.6 	28	7.26	Iσ	30
NGC 3675	12.8	T2	<35.99	U	29	<37.99	28	7.11	Iσ	30
NGC 3998	14.1	L1.9	37.98	S	4, 53	41.66	24	8.75	S	4
NGC 4051	17.0	NS1	37.30	S	4, 27	41.50	5, 6	6.11	R	21
NGC 4117	124	S2	35.70	S	14	39.4b	45	6.74	Iσ	16
NGC 4143	17.0	L1.9	37.16	F	29, 31	40.03	31	8.32	Iσ	34
NGC 4151	20.3	S1.5	38.49	S	4, 27	42.83	5, 6	7.17	R	21
NGC 4203	14.1	L1.9	36.79	F	29, 31	40.23	28, 31	7.90	Iσ	30
NGC 4258	7.3	S1.9	35.94	F	4, 29	40.52	35	7.60	M	4
NGC 4261 (3C 270)	29.6	L2	39.21	U	11	41.17	24	8.72	G	4
NGC 4278	9.7	L1.9	37.91	F	29, 31	39.96	31	9.20	S	60
NGC 4321	16.8	T2	<36.17	U	29	<38.59	28	6.80	Iσ	30
NGC 4374 (M84)	18.4	L2	38.81	F	4, 29	40.34	24	9.20	G	4
NGC 4388	16.8	S2	36.95	S	27	42.76	15	6.80	Iσ	26
NGC 4395	3.6	S1.5	35.56	S	4, 27	39.50	36	<5.04	S	4
NGC 4450	16.8	L1.9	36.53	F	29	40.34	24	7.30	Iσ	26
NGC 4457	17.4	L2	<35.70	U	29	39.97	24	6.86	Iσ	26
NGC 4472	18.8	S2	36.69	S	27, 29	<38.80	37	8.80	Iσ	38
NGC 4486 (M87)	16.1	L2	39.78	F	4, 29	40.55	39	9.48	G	4
NGC 4494	9.7	L2	<35.65	U	29	38.86	28	7.65	Iσ	30
NGC 4501	16.8	S2	36.20	S	27	40.28	14	7.90	Iσ	26
NGC 4548	16.8	L2	36.30	F	29	39.79	31	7.40	Iσ	26
NGC 4565	9.7	S1.9	36.15	F	29, 31	39.56	31	7.70	Iσ	26
NGC 4579	16.8	S1.9	37.65	F	29, 31	41.14	28, 31	7.85	Iσ	26
(1) Object	(2) D (Mpc)	(3) SC	(4) Log LR	(5) αR	(6) Ref	(7) Log LX	(8) Ref	(9) Log M	(10) Method	(11) Ref
NGC 4594 (M104)	9.8	L2	37.84	F	4, 53	40.70	15	9.04	S	4
NGC 4636	17.0	L1.9	36.40	U	29	<38.43	37	7.90	Iσ	38
NGC 4725	12.4	S2	<35.90	U	29	39.16	28	7.49	Iσ	30
NGC 4736	4.3	L2	34.80	F	29	39.62	24	7.30	Iσ	26
NGC 5033	18.7	S1.5	36.79	S	27	41.00	24, 28	7.30	Iσ	30
NGC 5194	7.7	S2	35.50	S	27	39.80	15	6.90	Iσ	16
NGC 5252	92.3	S2	38.96	S	14, 49	42.97	14	8.12	Iσ	16
NGC 5273	21.3	S2	36.22	F	14, 24	<42.0	14	6.37	Iσ	16
NGC 5347	31.2	S2	37.10	F	14, 55	40.0b	45	6.70	Iσ	16
NGC 5548	70.2	S1.5	38.58	S	4, 27	43.55	5	8.03	R	21
NGC 5929	33.2	S2	38.30	S	14, 49	40.7b	45	7.22	Iσ	16
NGC 6166	116	S2	39.95	S	40	40.56	41	9.19	Iσ	26
NGC 6251	94.8	S2	40.93	S	4, 53	42.15	15	8.73	G	4
NGC 6500	40.0	L2	38.90	F	31, 54	40.11	31	8.28	Iσ	30
NGC 7469	66.6	S1	38.38	S	4, 49	43.31	42	6.81	R	21
NGC 7672	53.2	S2	37.25	S	14, 55	43.37	14	6.80	Iσ	16
NGC 7682	68.0	S2	38.88	S	14, 49	<43.2	14	7.25	Iσ	16
NGC 7743	24.4	S2	36.99	S	27	39.71	24	6.47	Iσ	16
PG 0026+129	627	Q	40.17	U	4	44.44	43	7.73	R	21
PG 0052+251	690	Q	39.42	U	4	44.66	44	8.34	R	21
PG 0804+761	430	Q	39.41	U	4	44.26	43	8.28	R	21
PG 0844+349	268	Q	38.12	U	4	43.29	43	7.34	R	21
PG 0953+414	1118	Q	40.14	U	4	44.50	43	8.26	R	21
PG 1211+143	362	Q	41.08	U	4	43.61	43	7.61	R	21
PG 1226+023 (3C 273)	705	Q	44.03	F	4, 56	45.70	44	8.74	R	21
PG 1229+204	268	Q	38.45	U	4	44.29	44	7.88	R	21
PG 1307+085	690	Q	38.98	U	4	44.51	44	8.44	R	21
PG 1411+442	380	Q	38.71	U	4	43.53	43	7.90	R	21
PG 1426+015	366	Q	38.98	U	4	43.89	44	8.67	R	21
PG 1613+658	565	Q	39.75	F	4, 56	44.34	44	8.38	R	21
PG 1700+518	1406	Q	40.92	S	4, 53	<43.20	43	7.78	R	21
PG 2130+099	255	Q	38.89	S	4, 56	43.55	44	8.16	R	21
3C120	138	S1	41.55	F	11, 53	43.95	11	7.36	R	21
3C 390.3	241	S1	41.09	S	11	44.00	11	8.53	R	21
UGC 6100	116	S2	38.50	U	14	<43.6	14	7.72	Iσ	16
Sgr A*	0.008	–	32.50	F	62	33.34	63	6.41	S	64
Cyg X-1	0.0021	GBH	<29.44	F	61	36.44	61	1.06	S	69
Cyg X-1	0.0021	GBH	<29.45	F	61	36.57	61	1.06	S	69
Cyg X-1	0.0021	GBH	29.63	F	61	36.48	61	1.06	S	69
Cyg X-1	0.0021	GBH	29.65	F	61	36.57	61	1.06	S	69
Cyg X-1	0.0021	GBH	29.66	F	61	36.64	61	1.06	S	69
Cyg X-1	0.0021	GBH	29.24	F	72	36.58	61	1.06	S	69
Cyg X-1	0.0021	GBH	29.30	F	72	36.65	61	1.06	S	69
Cyg X-1	0.0021	GBH	29.18	F	72	36.66	61	1.06	S	69
Cyg X-3	0.009	GBH	<30.64	F	61	36.94	61	1.00	S	70
Cyg X-3	0.009	GBH	31.62	F	61	37.19	61	1.00	S	70
Cyg X-3	0.009	GBH	31.85	F	61	37.41	61	1.00	S	70
Cyg X-3	0.009	GBH	32.17	F	61	37.60	61	1.00	S	70
Cyg X-3	0.009	GBH	32.43	U	61	37.88	61	1.0	S	70
GRO J1655-40	0.0032	GBH	<29.76	F	61	36.64	61	0.85	S	65
GRO J1655-40	0.0032	GBH	<29.69	F	61	37.55	61	0.85	S	65
GRO J1655-40	0.0032	GBH	29.94	F	61	35.27	61	0.85	S	65
GRS 1915+105	0.0125	GBH	<30.89	F	61	38.17	61	1.20	S	65
GRS 1915+105	0.0125	GBH	<30.89	F	61	38.47	61	1.20	S	65
GRS 1915+105	0.0125	GBH	<30.89	F	61	38.73	61	1.20	S	66
GRS 1915+105	0.0125	GBH	31.60	F	61	38.25	61	1.20	S	66
GRS 1915+105	0.0125	GBH	31.76	F	61	38.40	61	1.20	S	66
GRS 1915+105	0.0125	GBH	31.76	F	61	38.65	61	1.20	S	66
GX 339-4	0.004	GBH	29.91	F	7	36.48	7	1.00	S	8
GX 339-4	0.004	GBH	29.87	F	7	36.42	7	1.00	S	8
GX 339-4	0.004	GBH	29.89	F	7	36.40	7	1.00	S	8
GX 339-4	0.004	GBH	29.62	F	7	36.12	7	1.00	S	8
GX 339-4	0.004	GBH	29.71	F	7	36.12	7	1.00	S	8
(1) Object	(2) D (Mpc)	(3) SC	(4) Log LR	(5) αR	(6) Ref	(7) Log LX	(8) Ref	(9) Log M	(10) Method	(11) Ref
Notes. aLX calculated from the known luminosity in the 0.3–8 keV band and the observed spectral index; bLX calculated from the GIS count rate, assuming Γ= 2 and Log(NH) = 22.5; cL5Ghz extrapolated from observations at 8 GHz.
Column (1): name of the object. Column (2): distance in Mpc (for H0= 75 km s−1 Mpc−1). Column (3): spectral class; GBH: galactic black hole; L: LINER; S: Seyfert; NS1: narrow line Seyfert 1; T: transition object (LINER/H II); Q: quasar. Column (4): logarithm of nuclear luminosity at 5 GHz. Column (5): radio spectral index αR (where Fν = ν); F: flat spectrum (αR < 0.4); S: steep spectrum (αR > 0.4); U: undetermined. Column (7) logarithm of the intrinsic rest-frame luminosity in the 2–10 keV band. Column (9): logarithm of the black hole mass. Column (10) mass measurement method; S: stellar kinematics; G: gas kinematics; M: maser kinematics; R: reverberation mapping; I[Oiii]: inferred from the mass-[Oiii] line-width correlation; Iσ: inferred from the mass-velocity dispersion correlation.
REFERENCES: (1) Ulvestad, Antonucci & Goodrich (1995); (2) Leighly (1999); (3) Wang & Lu (2001); (4) Ho (2002); (5) Weaver, Gelbord & Yaqoob (2001); (6) Nandra et al. (1997); (7) Corbel et al. (2003); (8) Hynes et al. (2003); (9) Fabbiano et al. (2003); (10) Tremaine et al. (2002); (11) Sambruna et al. (1999); (12) Pellegrini et al. (2003); (13) Saglia et al. (1993); (14) Polletta et al. (1996); (15) Bassani et al. (1999); (16) Woo & Urry (2002); (17) Gondoin et al. (2002); (18) Zhou & Wang (2002); (19) Thean et al. (2001); (20) Pounds et al. (2001); (21) Kaspi et al. (2000); (22) Ho & Peng (2001); (23) Gregory & Condon (1991); (24) Terashima et al. (2002); (25) Griffith et al. (1995); (26) Simien & Prugniel (2002) and HYPERLEDA Catalogue: http://www-obs.univ-lyon1.fr/hypercat/; (27) Ho & Ulvestad (2001); (28) Ho et al. (2001); (29) Nagar et al. (2002a); (30) Barth, Ho & Sargent (2002); (31) Terashima & Wilson (2003); (32) Allen et al. (2001); (33) Héraudeau & Simien (1998); (34) Churazov et al. (2003); (35) Fabbiano, Kim & Trincheri (1992); (36) Shih, Iwasaw & Fabian (2003); (37) Loewenstein et al. (2001); (38) Merritt & Ferrarese (2001); (39) Di Matteo et al. (2003); (40) Giovannini et al. (1998); (41) Di Matteo et al. (2001); (42) De Rosa, Fabian & Piro (2002); (43) George et al. (2000); (44) Lawson & Turner (1997); (45) Moran et al. (2001); (46) Dhawan et al. (2000); (47) Frontera et al. (2001); (48) Wagner et al. (2001); (49) Rush, Malkan & Edelson (1996); (50) Becker, White & Edwards (1991); (51) Kojoian et al. (1980); (52) White, Giommi & Angelini (2000); (53) Véron-Cetty & Véron (2001); (54) Falcke et al. (2000); (55) Ulvestad & Wilson (1989); (56) Falcke, Malkan & Biermann (1995); (57) Turner & Pounds (1989); (58) Tadhunter et al. (2003); (59) Young et al. (2002); (60) Magorrian et al. (1998); (61) This work; (62) Melia & Falcke (2001); (63) Baganoff et al. (2001); (64) Schödel et al. (2002); (65) Orosz & Bailyn (1997); (66) Greiner, Cuby & McCaughrean (2001); (67) Ho, Terashima & Ulvestad (2003); (68) Verlome et al. (2002); (69) Dolan (1992); (70) Hanson, Still & Fender (2000); (71) Filippenko & Chornock (2001); (72) Stirling et al. (2001), (73) Fender et al. (2001).
GX 339-4	0.004	GBH	29.66	F	7	36.14	7	1.00	S	8
GX 339-4	0.004	GBH	29.45	F	7	35.81	7	1.00	S	8
GX 339-4	0.004	GBH	29.11	F	7	35.32	7	1.00	S	8
GX 339-4	0.004	GBH	28.34	F	7	34.21	7	1.00	S	8
GX 339-4	0.004	GBH	28.02	F	7	33.91	7	1.00	S	8
GX 339-4	0.004	GBH	28.38	F	7	33.84	7	1.00	S	8
GX 339-4	0.004	GBH	28.49	F	7	34.01	7	1.00	S	8
GX 339-4	0.004	GBH	<27.51	F	7	<33.34	7	1.00	S	8
GX 339-4	0.004	GBH	<27.25	F	7	33.19	7	1.00	S	8
LS 5039	0.003	GBH	29.80	S	61	35.62	61	1.00	–	-
LS 5039	0.003	GBH	30.09	S	61	35.45	61	1.00	–	-
LS 5039	0.003	GBH	30.07	S	61	35.67	61	1.00	–	-
LS 5039	0.003	GBH	30.09	S	61	35.81	61	1.00	–	-
LS 5039	0.003	GBH	30.08	S	61	35.96	61	1.00	–	-
XTE J1118+480	0.0018	GBH	<28.98	F	46	35.43	47	1.00	S	48
XTE J1118+480	0.0018	GBH	28.92	F	71	35.46	61	1.00	S	48
XTE J1118+480	0.0018	GBH	28.92	F	71	35.57	61	1.00	S	48
XTE J1118+480	0.0018	GBH	28.92	F	71	35.56	61	1.00	S	48
XTE J1118+480	0.0018	GBH	28.92	F	71	35.47	61	1.00	S	48
XTE J1118+480	0.0018	GBH	28.92	F	71	35.45	61	1.00	S	48
XTE J1859+226	0.011	GBH	<29.24	F	61	36.58	61	>0.88	S	71
XTE J1859+226	0.011	GBH	<29.30	F	61	36.65	61	>0.88	S	71
